,travel_trajectory_distance,time_spent_travelling,sleep_time,time_walking,time_stationary,time_in_vehicle,altitude,geolocation_x,geolocation_y,atmospheric_pressure,temperature,screen_brightness,night_light,noise_level,label
travel_trajectory_distance,1.0,0.6841004296162181,-0.04898147167656462,-0.7126359205413723,-0.08563522962694749,0.7387527362866781,0.07996054329673447,-0.015731153893560314,-0.08136736787837409,-0.08418723459814939,0.030782593175042523,0.0035896227909677824,0.006510983901248436,0.005294870139454715,0.017919388805845343
time_spent_travelling,0.6841004296162181,1.0,-0.036039498837645643,-0.8370154476291272,-0.14170453162657715,0.9497205727259156,0.0728547016688933,-0.01434316000421425,-0.07943528432167804,-0.07833820133109866,0.03237807102364,0.06200253171617737,0.07873233096485284,0.09621801603365364,0.2818211294330672
sleep_time,-0.04898147167656462,-0.036039498837645643,1.0,0.07386438640000241,-0.01790911456462721,-0.06169364639560543,0.02805465389312236,-0.03537724017808422,0.009699974049492768,-0.025122684811070054,-0.046410037609550134,0.01084913070016827,0.013267926314218418,0.02420318241181833,0.05540141434450548
time_walking,-0.7126359205413723,-0.8370154476291272,0.07386438640000241,1.0,-0.15308574992603013,-0.9600913177322823,-0.09860326964249863,-0.026707692361827923,0.09154450944561142,0.09889450761220668,-0.025130179711252875,0.024075414920179145,0.025588349971341198,0.036651507946846844,0.09856520285457152
time_stationary,-0.08563522962694749,-0.14170453162657715,-0.01790911456462721,-0.15308574992603013,1.0,-0.05238481917941089,-0.010712652754891697,0.12106586461498223,-0.024210996394236173,0.018025722192993233,0.008960903663899646,-0.045174570841304336,-0.054733566899379006,-0.06723184799006098,-0.19651424011307234
time_in_vehicle,0.7387527362866781,0.9497205727259156,-0.06169364639560543,-0.9600913177322823,-0.05238481917941089,1.0,0.09432921981482452,-0.003612481122036535,-0.08744846085441993,-0.09742156303870672,0.027647609094783834,0.013917379884496355,0.020426086996509718,0.021710987348717254,0.06913905171310654
altitude,0.07996054329673447,0.0728547016688933,0.02805465389312236,-0.09860326964249863,-0.010712652754891697,0.09432921981482452,1.0,-0.4584473334719076,0.14028673992788293,-0.9893363061771115,-0.018852426955914502,-0.007637814187695853,-0.00676395973707553,-0.01750422430489559,-0.033867662775487944
geolocation_x,-0.015731153893560314,-0.01434316000421425,-0.03537724017808422,-0.026707692361827923,0.12106586461498223,-0.003612481122036535,-0.4584473334719076,1.0,-0.4369841484691211,0.43079944175467,0.15776723367204432,-0.015090762681847376,-0.011806216068798824,-0.011943397751762166,-0.047869097221309866
geolocation_y,-0.08136736787837409,-0.07943528432167804,0.009699974049492768,0.09154450944561142,-0.024210996394236173,-0.08744846085441993,0.14028673992788293,-0.4369841484691211,1.0,-0.13366013498036422,-0.47727665595501306,0.001687091686934453,-0.004905788243696457,-0.005876458050238979,-0.004311890668457678
atmospheric_pressure,-0.08418723459814939,-0.07833820133109866,-0.025122684811070054,0.09889450761220668,0.018025722192993233,-0.09742156303870672,-0.9893363061771115,0.43079944175467,-0.13366013498036422,1.0,0.05797019101374198,0.0056784369972420305,0.004612679676708645,0.014376614533353302,0.02483935065040043
temperature,0.030782593175042523,0.03237807102364,-0.046410037609550134,-0.025130179711252875,0.008960903663899646,0.027647609094783834,-0.018852426955914502,0.15776723367204432,-0.47727665595501306,0.05797019101374198,1.0,0.07101921446871241,-0.0671248235731573,0.04043146979726744,-0.0038364294779373634
screen_brightness,0.0035896227909677824,0.06200253171617737,0.01084913070016827,0.024075414920179145,-0.045174570841304336,0.013917379884496355,-0.007637814187695853,-0.015090762681847376,0.001687091686934453,0.0056784369972420305,0.07101921446871241,1.0,-0.6162695160675494,0.5436051916297671,0.21771042027053483
night_light,0.006510983901248436,0.07873233096485284,0.013267926314218418,0.025588349971341198,-0.054733566899379006,0.020426086996509718,-0.00676395973707553,-0.011806216068798824,-0.004905788243696457,0.004612679676708645,-0.0671248235731573,-0.6162695160675494,1.0,-0.31498483739426586,0.28727044753254166
noise_level,0.005294870139454715,0.09621801603365364,0.02420318241181833,0.036651507946846844,-0.06723184799006098,0.021710987348717254,-0.01750422430489559,-0.011943397751762166,-0.005876458050238979,0.014376614533353302,0.04043146979726744,0.5436051916297671,-0.31498483739426586,1.0,0.3428302668398149
label,0.017919388805845343,0.2818211294330672,0.05540141434450548,0.09856520285457152,-0.19651424011307234,0.06913905171310654,-0.033867662775487944,-0.047869097221309866,-0.004311890668457678,0.02483935065040043,-0.0038364294779373634,0.21771042027053483,0.28727044753254166,0.3428302668398149,1.0
