,travel_trajectory_distance,time_spent_travelling,sleep_time,time_walking,time_stationary,time_in_vehicle,altitude,geolocation_x,geolocation_y,atmospheric_pressure,temperature,screen_brightness,night_light,noise_level,label
travel_trajectory_distance,1.0,0.6706054804442277,-0.04792331458783686,-0.658653160602821,-0.09171109412102675,0.6261108451610665,-0.24700724728051485,-0.2921622168721051,0.3116541664736179,0.24681165714166545,-0.04614912449766783,0.001367018949531823,-0.0011357529178077598,0.0011552794683858162,-0.006783993567470262
time_spent_travelling,0.6706054804442277,1.0,-0.041157383591574045,-0.9869223065602452,-0.10675784043567524,0.9387861665425287,-0.10653913003980814,-0.15612409634435542,0.15359128141760117,0.10631126772826432,-0.014116810671128315,-0.004524560118981319,-0.01035770497277094,-0.0016571203704006086,-0.02349361667461998
sleep_time,-0.04792331458783686,-0.041157383591574045,1.0,0.029685206692671724,0.06865751282734865,-0.10243012005962511,0.1033198106826231,0.08161652643993528,-0.062045575216332485,-0.10283679231073159,0.0054729177476466025,0.05170526737167084,0.08767406087595718,0.04398179133899292,0.16570968031559383
time_walking,-0.658653160602821,-0.9869223065602452,0.029685206692671724,1.0,-0.05488928065326895,-0.8920606405687599,0.09696428396649287,0.14931780657039334,-0.146026464148693,-0.09709513287116907,0.014867192821723482,-0.017363945231042635,-0.027298859166009326,-0.01643488307367558,-0.04818728508316523
time_stationary,-0.09171109412102675,-0.10675784043567524,0.06865751282734865,-0.05488928065326895,1.0,-0.3079807616333188,0.061254597589010175,0.045572591278481074,-0.05088360384842685,-0.05908892971131831,-0.0034476781391677884,0.1320262596860039,0.2271336130193697,0.1089180358755561,0.4324487978334191
time_in_vehicle,0.6261108451610665,0.9387861665425287,-0.10243012005962511,-0.8920606405687599,-0.3079807616333188,1.0,-0.11983701631585432,-0.16033421707712112,0.14812758415345564,0.11833418224237804,0.0006146874911680813,-0.08115572797441449,-0.14306418797755568,-0.06756065428645464,-0.27594144980726326
altitude,-0.24700724728051485,-0.10653913003980814,0.1033198106826231,0.09696428396649287,0.061254597589010175,-0.11983701631585432,1.0,0.777055858375181,-0.8529356252586069,-0.9987341396196449,0.19949222987616141,0.014309406606274139,0.02635261477273422,0.013523301686741486,0.049419147420105794
geolocation_x,-0.2921622168721051,-0.15612409634435542,0.08161652643993528,0.14931780657039334,0.045572591278481074,-0.16033421707712112,0.777055858375181,1.0,-0.8867143506350591,-0.7760934430962045,-0.10835346613630016,0.01054500931830669,0.02238296931783375,0.011993216615618895,0.03977642260950244
geolocation_y,0.3116541664736179,0.15359128141760117,-0.062045575216332485,-0.146026464148693,-0.05088360384842685,0.14812758415345564,-0.8529356252586069,-0.8867143506350591,1.0,0.8519619164778192,-0.18752285647305936,-0.002563211706376065,-0.01076897124982692,-0.003897855717611987,-0.014993232146519512
atmospheric_pressure,0.24681165714166545,0.10631126772826432,-0.10283679231073159,-0.09709513287116907,-0.05908892971131831,0.11833418224237804,-0.9987341396196449,-0.7760934430962045,0.8519619164778192,1.0,-0.19951987432781984,-0.012834285959558234,-0.02400756428067352,-0.012059181678250836,-0.044769235057786266
temperature,-0.04614912449766783,-0.014116810671128315,0.0054729177476466025,0.014867192821723482,-0.0034476781391677884,0.0006146874911680813,0.19949222987616141,-0.10835346613630016,-0.18752285647305936,-0.19951987432781984,1.0,0.05984785994951481,-0.06840252202582203,0.03327159736779018,-0.0274459557605084
screen_brightness,0.001367018949531823,-0.004524560118981319,0.05170526737167084,-0.017363945231042635,0.1320262596860039,-0.08115572797441449,0.014309406606274139,0.01054500931830669,-0.002563211706376065,-0.012834285959558234,0.05984785994951481,1.0,-0.4338318137230531,0.5576368189606732,0.30973792880909223
night_light,-0.0011357529178077598,-0.01035770497277094,0.08767406087595718,-0.027298859166009326,0.2271336130193697,-0.14306418797755568,0.02635261477273422,0.02238296931783375,-0.01076897124982692,-0.02400756428067352,-0.06840252202582203,-0.4338318137230531,1.0,-0.24245499540947857,0.5164267047482388
noise_level,0.0011552794683858162,-0.0016571203704006086,0.04398179133899292,-0.01643488307367558,0.1089180358755561,-0.06756065428645464,0.013523301686741486,0.011993216615618895,-0.003897855717611987,-0.012059181678250836,0.03327159736779018,0.5576368189606732,-0.24245499540947857,1.0,0.27355986300992974
label,-0.006783993567470262,-0.02349361667461998,0.16570968031559383,-0.04818728508316523,0.4324487978334191,-0.27594144980726326,0.049419147420105794,0.03977642260950244,-0.014993232146519512,-0.044769235057786266,-0.0274459557605084,0.30973792880909223,0.5164267047482388,0.27355986300992974,1.0
